# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
TrES-3 ,Confirmed,1.91,0.07,0.06,,,,1.31,0.09,0.09,1.31,3.80E-07,3.80E-07,0.0226,0.0013,0.0013,0,,,82.15,0.21,0.21,,2007,5/22/2014,,,,,,,,,,2454538.581,0.00021,0.00021,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,TrES-3,268.0291667,37.5461111,12.4,,,,,,,,-0.19,0.08,0.08,0.92,0.04,0.04,0.81,0.027,0.027,G,,,,5720,150,150,,,
TrES-4 ,Confirmed,0.92,0.07,0.07,,,,1.71,0.056,0.056,3.55,3.20E-06,3.20E-06,0.05084,0.0005,0.0005,0,,,82.81,0.37,0.37,0.000106,2007,12/28/2012,,,,,,,,,,2454230.905,0.00062,0.00062,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,TrES-4,268.3041667,37.2116667,11.592,,,,,479.00,26,26,0.14,0.09,0.09,1.39,0.042,0.042,1.80,0.052,0.052,F,2.90,0.3,0.3,6200,75,75,,,
TrES-5 ,Confirmed,1.78,0.063,0.063,,,,1.21,0.021,0.021,1.48,7.00E-07,7.00E-07,0.02446,0.0001069,0.0001069,,,,84.529,0.005,0.005,6.80E-05,2011,9/5/2011,,,,,,,,,,2455443.252,0.0001069,0.0001069,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,TrES-5,305.2208333,59.4491667,13.72,,,,,360.00,11,11,0.2,0.08,0.08,0.89,0.024,0.024,0.87,0.013,0.013,,7.38,1.87,1.87,5171,36,36,,,
USco1602-2401 b,Confirmed,47.00,18,20,,,,,,,,,,1000,140,140,,,,,,,,2013,5/22/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,,,,,,,,,Published in a refereed paper,Imaging,,,,,USco1602-2401,240.7125,-24.030666,,,12.5,,,,,,,,,,,,,,,K4,,,,4550,120,120,,,
USco1610-1913 b,Confirmed,20.00,3,7,,,,,,,,,,840,90,90,,,,,,,,2013,5/22/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,Published in a refereed paper,Imaging,,,,,USco1610-1913,242.6333,-19.219055,,,13.9,,,,,,,,,,,,,,,K7,,,,4140,130,160,,,
USco1612-1800 b,Confirmed,26.00,7,16,,,,,,,,,,430,40,40,,,,,,,,2013,5/22/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,,,,,,,,,Published in a refereed paper,Imaging,,,,,USco1612-1800,243.2042,-18.01375,,,,,13.2,,,,,,,,,,,,,M3,,,,3410,130,150,,,
UScoCTIO 108 b,Confirmed,14.00,8,2,,,,,,,,,,670,,,,,,,,,4.62069,2007,5/26/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,UScoCTIO 108,241.475,-18.3119444,,15.65,14.42,15.07,,145.00,2,2,,,,0.06,0.02,0.02,,,,M7,0.01,0.002,0.002,2600,100,100,,,
UZ For (AB) d,Confirmed,7.70,1.2,1.2,,,,,,,1900.00,90,90,2.8,0.5,0.5,0.05,0.05,0.05,,,,,2011,2/23/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,UZ For (AB),53.8708333,-25.7394444,18.2,,,,,,,,,,,0.84,,,,,,Catac. var.,,,,,,,,,
V2051 Oph b,Confirmed,7.30,0.7,0.7,7.3,0.7,0.7,,,,,,,9,,,0.37,,,,,,,2015,9/7/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,PM J17083-2548S (AB) b,,V2051 Oph,257.0795,-25.80880558,13,,,,,,,,,,,,,,,,,,,,,,,,,,PM J17083-2548S (AB)
V391 Peg b,Confirmed,3.20,0.7,0.7,,,,,,,1170.00,44,44,1.7,0.1,0.1,0,,,,,,0.001214,2007,8/22/2014,,,,,,,2452418,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,V391 Peg,331.05,26.4188889,14.57,,15.17,15.16,15.38,1400.00,180,180,,,,0.50,0.05,0.05,0.23,0.03,0.03,sdB,10.00,nan,inf,29300,500,500,,,
V396 Hya b,Confirmed,18.30,12.2,12.2,,,,,,,,,,,,,,,,52,27,27,,2016,1/25/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,V396 Hya,198.1936292,-23.35885557,17.3,,,,,,,,,,,0.32,0,inf,,,,DD D,,,,,,,,,
V830 Tau b,Confirmed,0.77,0.15,0.15,0.63,0.11,0.11,,,,4.93,0.05,0.05,0.057,0.001,0.001,0,,,55,,,,2016,8/3/2016,,,,,,,,,,,,,,,,,,,,,,2457360.52,0.1,0.1,75,11,11,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,V830 Tau,68.29166667,24.56194447,12.1,,,,,131.00,3,3,,,,1.00,0.05,0.05,2.00,0.2,0.2,M0,0.00,,,4250,50,50,,Yes,
VHS 1256-1257 b,Confirmed,11.20,1.8,9.7,,,,,,,,,,102,9,9,,,,,,,,2015,7/25/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,VHS 1256-1257 ,194.0083333,-12.95666669,17.8,,,,,12.70,1,1,,,,0.07,0.02,0.015,,,,M7.5,0.20,0.1,0.05,2620,140,140,,,
WASP-1 b,Confirmed,0.86,0.07,0.07,,,,1.48,0.09,0.09,2.52,8.00E-07,8.00E-07,0.0382,0.0013,0.0013,0,,,88.65,0.55,0.55,,2006,5/31/2013,,,,,,,,,,2454461.863,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-1,5.1666667,31.99,11.79,,,,,,,,,,,1.24,0.17,0.17,1.38,0.1,0.1,F7V,,,,6200,200,200,,,
WASP-10 b,Confirmed,3.16,0.23,0.23,,,,1.08,0.02,0.02,3.09,1.82E-05,1.82E-05,0.0371,0.0013,0.0013,0.057,0.005,0.005,86.8,0.5,0.5,0.000412,2008,5/30/2014,2.737,0.166,0.166,,,,,,,2454357.858,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-10,348.9916667,31.4627778,12.7,,,,,90.00,20,20,0.03,0.2,0.2,0.71,0.071,0.071,0.78,0.043,0.043,K5,0.80,0.2,0.2,4675,100,100,,,
WASP-100 b,Confirmed,2.03,0.12,0.12,,,,1.69,0.29,0.29,2.85,8.00E-06,8.00E-06,0.0457,0.001,0.001,0,,,82.6,1.7,2.6,,2013,5/28/2014,,,,,,,,,,2456272.34,0.0009,0.0009,,,,,,,,,,,,,,,,2190,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-100,68.9583,-64.0269,10.8,,,,,,,,-0.03,0.1,0.1,1.57,0.1,0.1,2.00,0.3,0.3,F2,,,,6900,120,120,,,
WASP-101 b,Confirmed,0.50,0.004,0.004,,,,1.41,0.05,0.05,3.59,4.00E-06,4.00E-06,0.0506,0.0009,0.0009,0,,,85,0.2,0.2,,2013,10/22/2013,,,,,,,,,,2456164.693,0.0002,0.0002,,,,,,,,,,,,,,,,1560,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-101,98.35,-23.4861,10.3,,,,,,,,0.2,0.12,0.12,1.34,0.07,0.07,1.29,0.04,0.04,F6,0.90,1.3,0.4,6400,110,110,,,
WASP-102 b,Confirmed,0.62,0.045,0.045,,,,1.26,0.016,0.016,2.71,4.00E-06,5.00E-06,0.0401,0.0004,0.0004,,,,89.73,0.145,0.19,,2016,8/16/2016,,,,,,,,,,2456510.587,0.0002,0.0002,,,,,,,0.03,0.02,0.05,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-102,336.4643625,15.85674724,12.73,,,,,,,,0.09,0.19,0.19,1.17,0.035,0.035,1.33,0.012,0.013,G0,0.60,0.3,0.5,5940,140,140,,,
WASP-103 b,Confirmed,1.49,0.088,0.088,,,,1.53,0.047,0.073,0.93,1.90E-05,1.90E-05,0.01985,0.00021,0.00021,,,,86.3,2.7,2.7,,2014,8/22/2017,,,,,,,,,,2456459.6,0.00075,0.00075,,,,3,33,33,,,,,,,,,,2508,,,,,,,,,Published in a refereed paper,Primary Transit,,,,"Na, K",WASP-103,249.3166667,7.183333337,12,,,,,470.00,35,35,0.06,0.13,0.13,1.22,0.0039,0.0039,1.44,0.052,0.031,F8V,4.00,1,1,6110,100,100,,,
WASP-104 b,Confirmed,1.27,0.047,0.047,,,,1.14,0.037,0.037,1.76,3.60E-06,1.80E-06,0.02918,0.00045,0.00045,0,0,0.06,83.63,0.25,0.25,,2014,1/10/2016,,,,,,,,,,2456406.111,0.00012,0.00012,,,,,,,,,,,,,,,,1516,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-104,160.6025417,7.435083343,11.12,,,,,143.00,10,10,0.32,0.09,0.09,1.02,0.09,0.09,0.93,0.23,0.23,G8,,,,5450,130,130,,,
WASP-105 b,Confirmed,1.80,0.1,0.1,,,,0.96,0.03,0.03,7.87,1.00E-05,1.00E-05,0.075,0.03,0.03,0,,,89.7,0.2,0.2,,2017,1/17/2017,,,,,,,,,,2456600.077,0.0002,0.0002,,,,,,,0.1,0.08,0.08,,,,194,3,3,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-105,24.16666668,-50.65888891,12.1,,,,,,,,0.28,0.16,0.16,0.89,0.09,0.09,0.90,0.03,0.03,K2,,,,5070,130,130,,,
WASP-106 b,Confirmed,1.93,0.076,0.076,,,,1.09,0.028,0.046,9.29,1.00E-05,1.00E-05,0.0917,0.0014,0.0014,0,0,0.13,89.49,0.64,0.35,,2014,1/10/2016,,,,,,,,,,2456649.55,0.00033,0.00033,,,,,,,,,,,,,,,,1140,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-106,166.4297083,-5.079416678,11.21,,,,,283.00,21,21,-0.09,0.09,0.09,1.27,0.15,0.15,1.85,0.52,0.52,F9,,,,6000,150,150,,,
WASP-107 b,Confirmed,0.12,0.01,0.01,,,,0.94,0.02,0.02,5.72,2.00E-06,2.00E-06,0.055,0.001,0.001,0,,,89.7,0.2,0.2,,2017,2/17/2017,,,,,,,,,,2456514.411,0.0001,0.0001,,,,90,50,50,0.09,0.07,0.07,,,,17,2,2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-107,188.3875,-10.14611112,11.6,,,,,,,,0.02,0.1,0.1,0.69,0.05,0.05,0.66,0.02,0.02,K6,,,,4430,120,120,,,
WASP-108 b,Confirmed,1.17,0.09133,0.09165,1.167,0.091,0.091,1.22,0.04,0.04,2.68,2.10E-06,2.10E-06,0.0397,0.001,0.001,0,,,88.49,0.84,0.84,,2014,10/29/2014,,,,,,,,,,2456413.79,0.00015,0.00015,,,,,,,0.19,,,,,,117.8,3.5,3.5,1590,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-108,195.8291667,-49.63972224,11.2,,,,,220.00,0.115,0.115,0.05,0.11,0.11,1.17,0.092,0.092,1.22,0.04,0.04,F9,4.60,1.9,1.9,6000,140,140,,,
WASP-109 b,Confirmed,0.91,0.13,0.13,0.91,0.13,0.13,1.44,0.053,0.053,3.32,4.20E-06,4.20E-06,0.0463,0.0011,0.0011,0,,,84.28,0.19,0.19,,2014,1/10/2016,,,,,,,,,,2456361.193,0.00023,0.00023,,,,,,,0.737,,,,,,109,15,15,1695,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-109,232.0541667,-16.41083335,11.4,,,,,330.00,30,30,-0.22,0.08,0.08,1.20,0.09,0.09,1.35,0.044,0.044,F4,2.60,0.9,0.9,6520,140,140,,,
WASP-11-HAT-P-10 b,Confirmed,0.46,0.028,0.028,,,,1.05,0.033,0.033,3.72,6.70E-06,6.70E-06,0.0439,0.0009,0.0009,0,,,89.8,0.1,0.1,0.000351,2008,8/20/2015,,,,,,,,,,2456308.236,0.000107,0.000107,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-11-HAT-P-10,47.3708333,30.6736111,11.89,,,,,125.00,5,5,0.13,0.08,0.08,0.82,0.03,0.03,0.81,0.02,0.02,K3V,11.20,4.1,4.1,4980,60,60,,,
WASP-110 b,Confirmed,0.52,0.0641,0.0642,0.515,0.064,0.064,1.24,0.056,0.056,3.78,3.10E-06,3.10E-06,0.0457,0.0012,0.0012,0,,,88.06,0.35,0.35,,2014,10/29/2014,,,,,,,,,,2456502.724,0.00016,0.00016,,,,,,,0.376,,,,,,71.8,8.2,8.2,1134,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-110,305.875,-44.05833334,12.3,,,,,320.00,30,30,-0.06,0.1,0.1,0.89,0.072,0.072,0.88,0.035,0.035,G9,8.60,3.5,3.5,5400,140,140,,,
WASP-111 b,Confirmed,1.85,0.155,0.156,1.83,0.15,0.15,1.44,0.094,0.094,2.31,3.40E-06,3.40E-06,0.03914,0.00098,0.00098,0,,,81.61,0.82,0.82,,2014,10/29/2014,,,,,,,,,,2456275.751,0.0004,0.0004,,,,,,,0.665,,,,,,212,14,14,2140,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-111,328.7666667,-22.61250002,10.3,,,,,210.00,20,20,0.08,0.08,0.08,1.50,0.11,0.11,1.85,0.1,0.1,F5,2.60,0.6,0.6,6400,150,150,,,
WASP-112 b,Confirmed,0.88,0.12,0.12,0.88,0.12,0.12,1.19,0.049,0.049,3.04,3.80E-06,3.80E-06,0.0382,0.0011,0.0011,0,,,88.68,0.28,0.28,,2014,10/29/2014,,,,,,,,,,2456505.487,0.00013,0.00013,,,,,,,0.475,0.031,0.031,,,,142,17,17,1395,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-112,339.4875,-35.1538889,13.3,,,,,450.00,30,30,-0.64,0.15,0.15,0.81,0.073,0.073,1.00,0.037,0.037,G6,10.60,3,3,5610,130,130,,,
WASP-113 b,Confirmed,0.48,0.054,0.054,,,,1.41,0.14,0.095,4.54,4.20E-06,4.20E-06,0.05885,0.0001,0.0001,0,,,86.46,0.64,1.2,,2016,7/11/2016,,,,,,,,,,2457197.097,4.00E-05,4.00E-05,,,,,,,0.486,0.14,0.063,,,,48.74,5.2,5.2,1496,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-113,224.8708333,46.96000003,11.8,,,,,360.00,70,70,0.1,0.09,0.09,1.32,0.069,0.069,1.61,0.12,0.09,G1,,,,5890,140,140,,,
WASP-114 b,Confirmed,1.77,0.064,0.064,,,,1.34,0.064,0.064,1.55,9.00E-07,1.20E-06,0.02851,0.00039,0.00039,0.012,0.009,0.022,83.96,0.9,0.9,,2016,7/11/2016,289,35,150,,,,,,,2456667.736,0.00021,0.00021,,,,,,,0.457,0.054,0.054,,,,260.6,5.4,5.4,2043,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-114,327.6666667,10.46305558,12.74,,,,,460.00,80,80,0.14,0.07,0.07,1.29,0.053,0.053,1.43,0.06,0.06,G0,,,,5940,140,140,,,
WASP-117 b,Confirmed,0.28,0.009,0.009,,,,1.02,0.076,0.065,10.02,0.00055,0.00055,0.09459,0.00084,0.00079,0.302,0.023,0.023,89.14,0.3,0.3,,2014,6/27/2014,242,2.5,2.5,,,,,,,2456533.823,0.0009,0.0009,,,,44,11,11,,,,,,,,,,1024,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-117,36.775,-50.28444445,10.15,,,,,,,,-0.11,0.14,0.14,1.13,0.29,0.29,1.17,0.067,0.059,F9,4.60,2,2,6040,90,90,,,
WASP-118 b,Confirmed,0.51,0.02,0.02,,,,1.44,0.036,0.036,4.05,4.40E-06,4.40E-06,0.05453,0.00048,0.00048,,,,88.7,0.9,0.9,,2016,8/10/2016,,,,,,,,,,2456787.814,0.00062,0.00062,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-118,19.55,2.702777794,11.02,,,,,250.00,35,35,0.16,0.11,0.11,1.32,0.035,0.035,1.70,0.029,0.029,F6,,,,6410,125,125,,,
WASP-119 b,Confirmed,1.23,0.0831,0.0851,1.23,0.08,0.08,1.40,0.2,0.2,2.50,1.00E-05,1.00E-05,0.0363,0.0007,0.0007,0.058,0.058,0,85,2,2,,2016,2/5/2016,,,,,,,,,,2456537.547,0.002,0.002,,,,,,,0.5,0.24,0.1,,,,181,10,10,1600,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-119,55.94166668,-65.1938889,12.2,,,,,333.00,29,29,0.14,0.1,0.1,1.02,0.06,0.06,1.20,0.1,0.1,G5,8.00,2.5,2.5,5650,100,100,,,
WASP-12 b,Confirmed,1.40,0.099,0.099,,,,1.74,0.092,0.092,1.09,1.10E-06,1.10E-06,0.02293,0.00078,0.00078,0,0.01,0.01,86,3,3,5.40E-05,2008,6/2/2016,,,,,,,,,,2454508.976,0.00028,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,"TiO, VO, H2O, O I, CO2, CH4, CO, H2, HCN, C",WASP-12,97.6375,29.6722222,11.69,11.03,10.48,10.23,10.19,427.00,90,90,0.3,0.1,0.1,1.35,0.14,0.14,1.60,0.071,0.071,G0,1.70,0.8,0.8,6300,150,150,,,
WASP-120 b,Confirmed,5.06,0.268,0.269,5.01,0.26,0.26,1.52,0.083,0.083,3.61,3.80E-06,3.80E-06,0.0522,0.0013,0.0013,0.059,0.018,0.025,82.29,0.48,0.48,,2015,9/12/2015,323,21,39,,,,,,,2456779.435,0.00044,0.00044,,,,,,,0.78,0.021,0.021,,,,511.3,9.2,9.2,1890,,,50,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-120,62.61666668,-45.89833336,11,,,,,,,,-0.05,0.07,0.07,1.45,0.11,0.11,1.93,0.09,0.09,F5,,,,6450,120,120,,,
WASP-121 b,Confirmed,1.18,0.06449,0.06467,1.183,0.064,0.064,1.87,0.044,0.044,1.27,2.50E-07,2.50E-07,0.02544,0.0005,0.0005,0,,,87.6,0.6,0.6,,2015,4/11/2016,,,,,,,,,,2456635.708,0.0001,0.0001,,,,107.2,5,5,,,,,,,181.1,6.4,6.4,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"TiO, H2O, VO",WASP-121,107.6,-39.09750001,10.4,,,,,270.00,90,90,0.13,0.09,0.09,1.35,0.079,0.06,1.46,0.03,0.03,F6V,,,,6460,140,140,,,
WASP-122 b,Confirmed,1.40,0.07497,0.07518,1.372,0.072,0.072,1.79,0.069,0.069,1.71,3.60E-06,3.60E-06,0.03107,0.00079,0.00079,0,0,0.08,78.35,0.31,0.31,,2015,2/9/2016,,,,,,,,,,2456665.224,0.00022,0.00022,,,,,,,0.8608,0.0073,0.0073,,,,185.2,2.3,2.3,1960,,,50,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,KELT-14 b,,WASP-122,108.3,-42.40972224,11,,,,,,,,0.32,0.09,0.09,1.40,0.1,0.1,1.57,0.051,0.051,G4,,,,5730,130,130,,,
WASP-123 b,Confirmed,0.92,0.051,0.051,0.92,0.05,0.05,1.33,0.074,0.074,2.98,2.40E-06,2.40E-06,0.0431,0.0011,0.0011,0,0,0.12,85.79,0.51,0.51,,2015,9/12/2015,,,,,,,,,,2456845.171,0.00041,0.00041,,,,,,,0.525,0.0053,0.0041,,,,114.5,2.3,2.3,1510,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-123,289.4791667,-32.86000003,11.1,,,,,,,,0.18,0.08,0.08,1.21,0.089,0.089,1.30,0.061,0.061,G5,,,,5730,130,130,,,
WASP-124 b,Confirmed,0.60,0.07,0.07,0.6,0.07,0.07,1.24,0.03,0.03,3.37,1.00E-06,1.00E-06,0.0499,0.0007,0.0007,0.017,0.017,0,86.3,0.2,0.2,,2016,2/5/2016,,,,,,,,,,2457028.583,0.0001,0.0001,,,,,,,0.61,0.02,0.02,,,,77,8,8,1400,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-124,332.7125,-30.74944447,12.7,,,,,433.00,11,11,-0.02,0.11,0.11,1.07,0.05,0.05,1.02,0.02,0.02,F9,2.10,1.4,1.4,6050,100,100,,,
WASP-126 b,Confirmed,0.28,0.04,0.04,0.28,0.04,0.04,0.96,0.05,0.1,3.29,1.00E-05,1.00E-05,0.0449,0.0008,0.0008,0.18,0.18,0,87.9,1.5,1.5,,2016,2/5/2016,,,,,,,,,,2456890.319,0.0006,0.0006,,,,,,,0.3,0.2,0.2,,,,36,5,5,1480,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-126,63.37500001,-69.22694446,10.8,,,,,234.00,15,15,0.17,0.08,0.08,1.12,0.06,0.06,1.27,0.05,0.1,G2,6.40,1.6,1.6,5800,100,100,,,
WASP-127 b,Confirmed,0.18,0.02,0.02,,,,1.37,0.04,0.04,4.18,2.00E-06,2.00E-06,0.052,0.0005,0.0005,,,,88.7,0.6,0.8,,2016,7/27/2016,,,,,,,,,,2457248.741,0.00016,0.00016,,,,,,,0.15,0.11,0.09,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-127,160.5586667,-3.835083351,10.15,,,,,,,,,,,1.08,0.03,0.03,1.39,0.03,0.03,G5,11.41,1.8,1.8,5620,85,85,,,
WASP-129 b,Confirmed,1.00,0.1,0.1,1,0.1,0.1,0.93,0.03,0.03,5.75,1.00E-06,1.00E-06,0.0628,0.0007,0.0007,0.096,0.096,0,87.7,0.2,0.2,,2016,2/5/2016,,,,,,,,,,2457027.437,0.0002,0.0002,,,,,,,0.62,0.02,0.02,,,,110,10,10,1100,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-129,176.3,-42.0638889,12.3,,,,,246.00,7,7,0.15,0.09,0.09,1.00,0.03,0.03,0.90,0.02,0.02,G1,1.00,0.9,0.9,5900,100,100,,,
WASP-13 b,Confirmed,0.49,0.058,0.042,,,,1.37,0.062,0.034,4.35,1.30E-05,1.30E-05,0.05379,0.00059,0.00077,0,,,85.64,0.24,0.24,0.000345,2008,5/23/2014,,,,,,,,,,2455575.514,0.0016,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-13,140.1041667,33.8825,10.42,,,,,156.00,18,18,0,0.2,0.2,,,,,,,G1V,,,,5826,100,100,,,
WASP-130 b,Confirmed,1.23,0.04,0.04,,,,0.89,0.03,0.03,11.55,1.00E-05,1.00E-05,0.1012,0.0014,0.0014,0,,,88.66,0.12,0.12,,2016,7/11/2016,,,,,,,,,,2456921.143,2.50E-05,2.50E-05,,,,,,,0.53,0.03,0.03,,,,108,2,2,833,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-130,203.1041667,-42.47527779,11.1,,,,,180.00,30,30,0.26,0.1,0.1,1.04,0.04,0.04,0.96,0.03,0.03,G6,2.00,,,5625,90,90,,,
WASP-131 b,Confirmed,0.27,0.02,0.02,,,,1.22,0.05,0.05,5.32,5.00E-06,5.00E-06,0.0607,0.0009,0.0009,0,,,85,0.3,0.3,,2016,7/11/2016,,,,,,,,,,2456919.824,0.0004,0.0004,,,,,,,0.73,0.02,0.02,,,,30.5,1.7,1.7,1400,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-131,210.1916667,-30.58361112,10.1,,,,,250.00,50,50,0.18,0.08,0.08,1.06,0.06,0.06,1.53,0.05,0.05,G0,4.50,3.5,3.5,6030,90,90,,,
WASP-132 b,Confirmed,0.41,0.03,0.03,,,,0.87,0.03,0.03,7.13,9.00E-06,9.00E-06,0.067,0.001,0.001,0,,,89.6,0.3,0.3,,2016,7/11/2016,,,,,,,,,,2456698.208,0.0004,0.0004,,,,,,,0.14,0.12,0.12,,,,51,3,3,763,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,WASP-132,217.6083333,-46.15916668,12.4,,,,,120.00,20,20,0.22,0.13,0.13,0.80,0.04,0.04,0.74,0.02,0.02,K4,0.50,,,4775,100,100,,,
WASP-133 b,Confirmed,1.16,0.0909,0.0915,1.16,0.09,0.09,1.21,0.05,0.05,2.18,1.00E-06,1.00E-06,0.0345,0.0007,0.0007,0.17,0.17,0,87,1,1,,2016,2/5/2016,,,,,,,,,,2457116.987,0.0002,0.0002,,,,,,,0.2,0.1,0.1,,,,170,10,10,1790,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-133,314.575,-35.79666669,12.9,,,,,457.00,21,21,0.29,0.12,0.12,1.16,0.08,0.08,1.44,0.05,0.05,G4,6.80,1.8,1.8,5700,100,100,,,
WASP-135 b,Confirmed,1.90,0.083,0.084,1.9,0.08,0.08,1.30,0.09,0.09,1.40,8.00E-07,8.00E-07,0.0243,0.0005,0.0005,0,,,82,0.6,0.6,,2015,11/19/2015,,,,,,,,,,2455230.99,0.0009,0.0009,,,,,,,0.8,0.03,0.03,,,,346,3,3,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-135,267.2833333,29.87916669,13.3,,,,,300.00,45,45,0.02,0.13,0.13,0.98,0.06,0.06,0.96,0.05,0.05,G5,4.40,2.5,2.5,5680,60,60,,,
