# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
42 Dra b,Confirmed,3.88,0.85,0.85,3.88,0.85,0.85,,,,479.10,6.2,6.2,1.19,0.01,0.01,0.38,0.06,0.06,,,,0.01223,2009,3/23/2009,218.7,10.6,10.6,2452757.4,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,42 Dra,276.4958333,65.5636111,4.83,,,,,97.30,5,5,-0.46,0.05,0.05,0.98,0.05,0.05,22.03,1,1,K1.5III,9.49,1.76,1.76,4200,70,70,,,
47 Uma b,Confirmed,2.53,0.06,0.07,2.53,0.06,0.07,,,,1078.00,2,2,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,8/27/2014,334,23,23,2451917,76,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.40,1.9,1.9,5892,70,70,,,
47 Uma c,Confirmed,0.54,0.073,0.066,0.54,0.073,0.066,,,,2391.00,87,100,3.6,0.1,0.1,0.098,0.096,0.047,,,,0.257695,2001,8/27/2014,295,160,114,2456441,825,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.40,1.9,1.9,5892,70,70,,,
47 Uma d,Confirmed,1.64,0.48,0.29,1.64,0.48,0.29,,,,14002.00,5095,4018,11.6,2.9,2.1,0.16,0.16,0.09,,,,0.830351,2010,8/27/2014,110,160,132,2451736,5051,6783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.40,1.9,1.9,5892,70,70,,,
51 Eri b,Confirmed,9.10,3.3,4.9,,,,1.11,0.13,0.16,14965.00,4380,12775,14,3,7,0.21,0.15,0.15,138,13,15,,2015,4/13/2017,90,58,58,2452014.79,12,12,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.40055143,-2.473548598,5.223,,,,,29.40,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
51 Peg b,Confirmed,0.47,0.067,0.033,0.46,0.06,0.01,1.90,0.3,0.3,4.23,3.73E-05,3.73E-05,0.052,,,0.0069,0.0066,0.0069,80,10,19,0.003537,1995,1/26/2017,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,,,,,14.70,,,0.2,0.07,0.07,1.11,0.06,0.06,1.27,0.046,0.046,G2 IV,4.00,2.5,2.5,5793,70,70,,,
55 Cnc b,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,6/11/2017,110,54,54,2453035,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.91,0.015,0.015,0.94,0.01,0.01,K0IV-V,10.20,2.5,2.5,5196,24,24,,,
55 Cnc c,Confirmed,0.18,0.0078,0.0275,0.1784,0.0078,0.0275,,,,44.37,0.018,0.02,0.23735,0.00024,0.00024,0.072,0.014,0.013,,,,0.019473,2002,6/11/2017,356,22,22,2453983,3,3,,,,,,,,,,,,,,,,,,,10.48,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.91,0.015,0.015,0.94,0.01,0.01,K0IV-V,10.20,2.5,2.5,5196,24,24,,,
55 Cnc d,Confirmed,3.86,0.15,0.6,3.86,0.15,0.6,,,,4867.00,26,25,5.446,0.02,0.02,0.0269,0.0065,0.061,,,,0.466775,2002,6/11/2017,254,32,32,2453490,437,437,,,,,,,,,,,,,,,,,,,45.2,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.91,0.015,0.015,0.94,0.01,0.01,K0IV-V,10.20,2.5,2.5,5196,24,24,,,
55 Cnc e,Confirmed,0.03,0.0008105,0.0008944,0.02547,0.00081,0.00082,0.18,0.007137135,0.007137135,0.74,1.20E-06,1.60E-06,0.015439,1.50E-05,1.50E-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,6/11/2017,170,130,130,2449999.836,0.0001,0.0001,,,,2455962.07,0.0018,0.0018,,,,72.4,12,12,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,"H2O, HCN",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.91,0.015,0.015,0.94,0.01,0.01,K0IV-V,10.20,2.5,2.5,5196,24,24,,,
